society,price,area,open_sides,possession,locality,nearby_count,school_count,hospital_count,bank_count,metro_count,corner_property,park_facing,freehold,rental_income,ready_to_move,transport_count,environment,lifestyle,connectivity,safety,overall_rating,description_length,contains_corner,contains_freehold,contains_park,contains_north
independent,0.72,65336.873,1.0,Future,Jhajjar,9,0,8,0,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,94.0,0,0,0,0
ROF Insignia Park 2,2.415,1625.3489,2.0,undefined,Sector 95 Gurgaon,5,1,1,0,0,0,0,0,0,0,1,4.0,4.5,4.0,4.5,4.25,85.0,0,0,0,0
independent,5.025,1334.7236,1.0,Immediate,Sector 45 Gurgaon,47,7,9,11,0,0,0,0,0,1,0,4.0,4.0,5.0,4.0,4.25,102.0,0,0,0,0
Supertech Sambhav Homes,0.4499999999999999,581.2506,1.0,Immediate,Sohna,7,2,1,0,0,0,0,1,0,1,1,4.0,4.0,5.0,4.0,4.25,441.0,0,1,0,0
village nakhdolla,0.5249999999999999,699.6535,2.0,undefined,A 101,14,0,3,0,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,50.0,0,0,0,0
independent,1.65,1506.946,1.0,Future,Sector-35 Sohna,0,0,0,0,0,0,0,1,0,0,0,4.0,4.0,4.0,5.0,4.25,172.0,0,1,0,0
independent,2.4000000000000004,882.6397999999999,2.0,Immediate,919,44,4,5,10,0,0,1,0,0,1,2,4.0,5.0,5.0,4.0,4.5,95.0,0,0,1,0
Saraswati Kung,6.0,247.5697,1.0,undefined,Sector 53,0,0,0,0,0,0,0,0,0,0,0,4.0,5.0,5.0,4.0,4.5,65.0,0,0,0,0
independent,22.5,87123.0066,1.0,Immediate,Sector 103 Gurgaon,7,0,3,0,0,0,0,0,0,1,3,4.0,4.0,4.0,4.0,4.0,104.0,0,0,0,0
independent,5.699999999999999,3153.8227,4.0,undefined,Sector 10A Gurgaon,49,0,38,0,0,0,0,1,0,0,1,4.0,5.0,5.0,5.0,4.75,173.0,0,1,0,0
bharat residency Dharam Colony,0.63,1054.8622,1.0,Immediate,Dharam Colony,49,5,17,6,1,0,0,0,0,1,5,4.0,4.0,4.5,4.0,4.125,73.0,0,0,0,0
independent,1.2000000000000002,1334.7236,4.0,Immediate,Sohna,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,5.0,4.0,4.25,396.0,0,0,0,0
independent,0.6000000000000001,2249.6551,1.0,Immediate,Farrukh Nagar,14,0,13,0,0,0,0,1,0,1,0,4.0,4.0,4.5,4.0,4.25,517.0,0,1,0,0
independent,0.27,1345.4875,1.0,Immediate,Farrukh Nagar,14,0,13,0,0,0,0,1,0,1,0,4.0,4.0,4.5,4.0,4.25,525.0,0,1,0,0
independent,2.7,968.751,1.0,Immediate,Sector 110 A Gurgaon,24,4,3,2,1,0,0,1,0,1,2,4.5,4.0,4.0,4.0,4.125,453.0,0,1,0,0
independent,0.3525,96.8751,1.0,Immediate,Maruti Kunj,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,232.0,0,0,0,0
independent,2.73,904.1676,2.0,Immediate,Sector 40 Gurgaon,48,6,6,13,1,0,0,0,0,1,1,4.0,4.0,4.0,4.0,4.0,65.0,0,0,0,0
independent,34.065,828.8203,2.0,undefined,Sushant Lok Phase 1,47,2,5,13,1,1,0,0,0,0,1,5.0,5.0,5.0,4.5,4.875,45.0,1,0,0,0
vrindavan city jamtha Nagpur,0.315,1291.668,4.0,Immediate,Vrindavan phase III jamtha Nagpur,45,5,6,14,3,0,0,0,0,1,5,4.0,4.0,4.5,4.0,4.25,147.0,0,0,0,0
independent,1.65,1130.2095,1.0,Immediate,Avenue 69 Society,43,0,12,11,0,0,0,0,0,1,0,4.0,4.0,4.0,4.0,4.0,280.0,0,0,0,0
Ardee City3.8 ★,6.75,1980.5576,1.0,Immediate,Sector 52 Gurgaon,44,4,5,10,0,0,1,0,0,1,2,4.0,5.0,5.0,4.0,4.5,38.0,0,0,1,0
Jawahar Nagar,3.0,1905.2103,1.0,undefined,Sector 12a,50,3,31,3,0,0,0,0,0,0,1,3.0,4.0,4.5,4.0,3.875,66.0,0,0,0,0
independent,6.735,1894.4464,2.0,Immediate,Sector 47,0,0,0,0,0,0,0,0,0,1,0,5.0,4.5,5.0,5.0,4.875,65.0,0,0,0,0
independent,0.24,904.1676,1.0,Immediate,Sohna,0,0,0,0,0,0,0,0,0,1,0,4.0,4.0,5.0,4.0,4.25,89.0,0,0,0,0
"Adani Tatva Estates, Sector 99 Gurugram",3.45,1614.585,2.0,Immediate,Sector 99,0,0,0,0,0,0,0,0,0,1,0,4.5,4.0,4.5,4.5,4.375,117.0,0,0,0,0
independent,2.145,1345.4875,2.0,undefined,Sector 85 Gurgaon,12,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,4.5,4.875,53.0,0,0,0,0
Corona Greens,1.125,1011.8066,1.0,Immediate,Sohna,6,2,1,0,0,0,0,0,0,1,1,4.0,4.0,5.0,4.0,4.25,50.0,0,0,0,0
Supertech Sambhav Homes,0.75,1399.307,1.0,Immediate,Sohna,7,2,1,0,0,0,0,0,0,1,1,4.0,4.0,5.0,4.0,4.25,73.0,0,0,0,0
independent,1.2000000000000002,1593.0572,1.0,undefined,Near Railway Statiin,0,0,0,0,0,0,0,0,0,0,0,4.0,3.0,4.0,3.0,3.5,47.0,0,0,0,1
independent,6.0,1797.5712999999998,1.0,undefined,New Colony,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,72.0,0,0,0,0
independent,7.1850000000000005,3078.4754,1.0,undefined,Plot No 355,44,5,6,9,0,0,0,0,0,0,2,4.0,5.0,5.0,4.0,4.5,52.0,0,0,0,0
independent,7.485,3100.0032,1.0,undefined,50 Meters Inside From Main Medanta Hospital Between Medanta Hospital And Bakhtawar Singh Chowk,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,135.0,0,0,0,0
independent,3.6,990.2788,1.0,Immediate,63x,48,6,6,13,1,0,1,0,0,1,1,4.0,4.0,4.0,4.0,4.0,154.0,0,0,1,0
BPTP Amstoria3.8 ★,6.75,2249.6551,2.0,Immediate,Sector 102 Gurgaon,11,2,1,0,0,0,0,0,0,1,2,4.0,5.0,4.0,4.0,4.25,79.0,0,0,0,1
independent,9.045,50235.1213,1.0,undefined,Dlf City Phase 1,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,72.0,0,0,0,0
independent,1.95,1528.4738,2.0,Within_6_months,Sector-4 Sohna,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.5,4.0,4.25,66.0,0,0,0,0
independent,6.562815789473683,1797.5712999999998,1.0,undefined,New Palam Vihar Phase 2,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,5.0,4.0,4.25,66.0,0,0,0,0
independent,6.562815789473683,8105.2167,1.0,undefined,Sector 70A Gurgaon,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,4.0,4.0,4.25,43.0,0,0,0,0
Ansals Shiva Som Valley,1.7999999999999998,1614.585,1.0,undefined,Sohna Gurgaon Road,7,2,1,0,0,0,0,0,0,0,1,4.0,4.0,4.0,5.0,4.25,119.0,0,0,0,0
independent,0.705,721.1813,1.0,undefined,Rajendra Park,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,82.0,0,0,1,0
independent,6.562815789473683,1797.5712999999998,1.0,undefined,G- Block Rajendra Park,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,102.0,0,0,1,0
independent,3.75,3487.5036,1.0,Immediate,1165gp,20,0,15,0,0,0,0,0,0,1,0,4.0,5.0,4.0,5.0,4.5,76.0,0,0,0,1
independent,1.65,43.0556,1.0,undefined,Sector 51 Gurgaon,0,0,0,0,0,0,0,0,0,0,0,5.0,4.0,5.0,4.0,4.5,42.0,0,0,0,0
independent,1.875,2734.0306,1.0,Future,Sohna,0,0,0,0,0,0,0,1,0,0,0,4.0,4.0,5.0,4.0,4.25,163.0,0,1,0,0
