property_type,society,price,price_per_sqft,bedRoom,bathroom,balcony,noOfFloor,facing,agePossession,area,has_builtup_area,locality,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_plot,park_facing,freehold,newly_renovated,rental_income,fully_furnished
house,independent,13.5,49968,5,5,3,3,North,Old Property,2702.0,0,DLF Phase 2,1,1,1,1,0,0,25,5.0,5.0,5.0,5.0,5.0,44,0,1,12,5,0,0,1,0,0,0,0
house,independent,8.7,48399,5,5,3+,2,North,Old Property,1798.0,0,DLF Phase 1,1,1,1,1,0,0,20,5.0,5.0,5.0,5.0,5.0,46,0,6,11,6,0,0,0,0,0,0,0
house,sector 37,0.8250000000000001,10949,2,1,1,1,East,New Property,753.0,1,Narsinghpur,0,0,1,0,0,0,53,4.0,4.0,5.0,4.0,4.25,6,0,1,0,0,0,0,0,0,0,0,0
house,independent,11.235,41584,12,12,3+,4,South-East,Relatively New,2702.0,0,Sector 55 Gurgaon,1,1,0,1,0,2,33,4.0,4.0,5.0,4.0,4.25,42,1,5,13,3,0,0,0,1,0,0,0
house,independent,20.25,74952,16,16,3+,4,North-West,Relatively New,2702.0,0,Sushant Lok Phase 1,1,1,0,1,1,0,28,5.0,5.0,5.0,5.0,5.0,47,1,4,7,1,0,0,0,0,0,1,0
house,independent,17.924999999999997,65305,12,12,3+,4,West,Relatively New,2745.0,0,Sector 56 Gurgaon,0,1,0,0,0,2,13,4.0,5.0,5.0,4.0,4.5,47,1,5,14,3,0,0,0,0,0,0,0
house,independent,18.585,68789,16,18,3+,4,North-East,New Property,2702.0,0,Sector 56 Gurgaon,0,1,0,1,0,2,33,4.0,5.0,5.0,4.0,4.5,47,2,5,14,3,1,0,0,1,0,0,0
house,nul,9.375,52154,5,5,3,2,East,Moderately Old,1798.0,0,DLF Phase 2,0,1,0,1,0,2,59,5.0,5.0,5.0,5.0,5.0,44,0,1,12,5,0,0,0,0,0,0,0
house,bptp visionnaire,8.100000000000001,31096,4,5,3+,3,North,Relatively New,2605.0,0,Sector 70A Gurgaon,1,1,1,1,0,2,69,5.0,4.0,4.0,4.0,4.25,15,3,1,5,0,1,0,0,0,0,0,0
house,independent,8.625,44516,4,4,2,2,North,Old Property,1938.0,0,C Block Sushant Lok Phase 1,0,1,1,1,0,0,5,4.0,4.0,4.0,4.0,4.0,46,1,4,5,2,0,0,0,0,0,0,0
