property_type,society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,builtup_area_sqft,carpet_area_sqft,Super_Built_up_area,has_super_builtup,has_builtup_area,has_carpet_area,locality,study room,servant room,store room,pooja room,others,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_property,park_facing,freehold,rental_income,fully_furnished,newly_renovated
flat,m3m woodshire4.0 â˜…,0.9,6588.0,1366.0,2,2,3+,14.0,Unknown,0 to 1 Year Old,1277.9190652333336,1181.5306489010195,1366.046549,1,0,0,Sector 107 Gurgaon,0,0,0,0,0,11,5.0,5.0,5.0,5.0,5.0,6,1,0,0,0,1,0,1,0,0,0,0
flat,conscient habitat3.6 â˜…,0.35,6422.0,545.0,2,2,1,3.0,North-East,1 to 5 Year Old,601.5678834289295,544.976257,610.7379321611215,0,0,1,Sector 99A Gurgaon,0,0,0,0,0,9,5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0
flat,sare crescent parc3.5 â˜…,0.49,4909.0,998.0,2,2,2,2.0,Unknown,1 to 5 Year Old,974.7555635231988,998.028808,1036.1229115585547,0,0,1,Sector 92 Gurgaon,0,0,0,0,0,17,5.0,5.0,5.0,5.0,5.0,8,0,0,0,0,0,0,0,0,0,0,0
flat,gls avenue 51,0.45,7614.0,591.0,2,2,1,10.0,Unknown,0 to 1 Year Old,646.049278,591.0,653.9337578835982,0,1,1,Sector 92 Gurgaon,1,0,0,0,0,4,5.0,5.0,5.0,5.0,5.0,4,0,1,0,0,0,0,0,0,0,0,0
flat,signature global grand iva3.9 â˜…,0.3,8290.0,362.0,1,2,2,5.0,Unknown,0 to 1 Year Old,450.80994643720464,361.882318,438.893668960834,0,0,1,Sector 103 Gurgaon,0,0,0,0,0,6,5.0,5.0,5.0,5.0,5.0,12,4,2,0,0,0,0,0,0,0,0,0
flat,signature global city 92,0.78,11142.0,700.0,2,2,3,2.0,Unknown,Under Construction,729.2590322470569,700.0,1009.976737,1,0,1,Sector 92 Gurgaon,0,0,0,0,1,5,5.0,5.0,5.0,5.0,5.0,10,1,1,0,0,0,0,0,0,0,0,0
flat,ramsons kshitij3.7 â˜…,0.33,3911.0,844.0,2,2,1,14.0,South,0 to 1 Year Old,847.8882285684141,761.7016186748453,767.035514,1,0,0,Sector 95 Gurgaon,0,0,0,0,1,12,5.0,5.0,5.0,5.0,5.0,3,0,0,0,0,0,1,0,0,0,0,0
flat,om appartments,0.4,4444.0,900.0,3,2,1,3.0,Unknown,1 to 5 Year Old,894.0218049156085,899.9696789999999,944.0970219758872,0,0,1,Ashok Vihar Phase 2,0,0,0,0,0,1,5.0,5.0,5.0,5.0,5.0,49,1,12,5,0,0,0,0,1,0,0,0
flat,avl 36 gurgaon3.7 â˜…,0.75,7500.0,1000.0,2,2,2,5.0,North-East,1 to 5 Year Old,976.4031912498843,727.0,999.96631,1,0,1,Sector 36A Gurgaon,0,0,0,0,0,5,5.0,5.0,5.0,5.0,5.0,7,0,2,0,0,1,0,0,0,0,0,0
flat,breez global hill view,0.35,6315.0,554.0,2,2,2,14.0,West,0 to 1 Year Old,608.9822081990142,554.1255719999999,619.189289367693,0,0,1,Sohna,0,0,0,0,0,10,5.0,5.0,5.0,5.0,5.0,15,1,1,1,0,0,0,0,0,0,0,0
