Feature,Importance
cat__locality_F 12,0.0
cat__locality_F-120,0.0
cat__locality_F/20,0.0
cat__locality_Far 4,0.0
cat__locality_0005,0.0
cat__locality_0006,0.0
cat__locality_Fazilpur Jharsa,0.0
cat__locality_For Sale - 3 Side Corner Open Land Facing The Main Dwarka Express Highway Near To Delhi Border,0.0
cat__locality_G 1017,0.0
cat__locality_G Block,0.0
cat__locality_G- Block Rajendra Park,0.0
cat__locality_G-Block,0.0
cat__locality_Gali no 18,0.0
cat__locality_Garden Villas,0.0
cat__locality_0007,0.0
cat__locality_Gated Society At G Block,0.0
cat__locality_Golf Course Extension Road,0.0
cat__locality_Golf Course Extn Road Facing,0.0
cat__locality_0009,0.0
cat__locality_0025,0.0
cat__locality_Greater Sohna Road Badshapur,0.0
cat__locality_Greenwood City,0.0
cat__locality_Gulmohar Avanue 3,0.0
cat__locality_Gulmohar Green Plot On Excellent Location,0.0
cat__locality_Gurgaon,0.0
cat__locality_Gurgaon Faridabad Road,0.0
cat__locality_Gwal Pahari,0.0
cat__locality_H 33,0.0
cat__locality_H Block,0.0
cat__locality_007,0.0
cat__locality_H09,0.0
cat__locality_H11,0.0
cat__locality_House No 15,0.0
cat__locality_Huda,0.0
cat__locality_Huda Colony,0.0
cat__locality_Huda Sector,0.0
cat__locality_I /90,0.0
cat__locality_00.,0.0
cat__locality_I-112,0.0
cat__locality_I/80,0.0
cat__locality_Imperial Estate,0.0
cat__locality_Imt Manesar,0.0
cat__locality_In A-Block,0.0
cat__locality_Iris Avenue,0.0
cat__locality_Ivory Block,0.0
cat__locality_J /01,0.0
cat__locality_0210,0.0
cat__locality_J-12,0.0
cat__locality_J-14,0.0
cat__locality_J-Blcok,0.0
cat__locality_J09,0.0
cat__locality_Jacobpura,0.0
cat__locality_Jai Guru Ji,0.0
cat__locality_Jxxxxx1,0.0
cat__locality_B-64,0.0
cat__locality_K Block And J Block,0.0
cat__locality_K-12,0.0
cat__locality_K-9,0.0
cat__locality_Kblock,0.0
cat__locality_Lane C,0.0
cat__locality_0212,0.0
cat__locality_Limited Inventory,0.0
cat__locality_Luxury Plot On Dwarka Expresway Highway,0.0
cat__locality_M Block,0.0
cat__locality_Main Road,0.0
cat__locality_02120,0.0
cat__locality_025251,0.0
cat__locality_Mianwali Colony,0.0
cat__locality_Mohammadpur village,0.0
cat__locality_Mullahera village,0.0
cat__locality_045,0.0
cat__locality_072,0.0
cat__locality_Naugaon,0.0
cat__locality_Naurangpur,0.0
cat__locality_Near Back Gate In Front Of Good Earth Mall,0.0
cat__locality_Near Gallery 4100 Line,0.0
cat__locality_Near Market,0.0
cat__locality_Near Railway Statiin,0.0
cat__locality_Near Ryan International School,0.0
cat__locality_076,0.0
cat__locality_New Gurgaon,0.0
cat__locality_101,0.0
cat__locality_New Palam Vihar Phase 1,0.0
cat__locality_103,0.0
cat__locality_Nicely Located,0.0
cat__locality_Nihali colony,0.0
cat__locality_Nirvana Country,0.0
cat__locality_North Facing,0.0
cat__locality_Om Vihar,0.0
cat__locality_Oo1,0.0
cat__locality_Orris Aanandam Ora Sector 93,0.0
cat__locality_P Block,0.0
cat__locality_104,0.0
cat__locality_1040,0.0
cat__locality_Park Drive,0.0
cat__locality_Park Facing And Corner Plot 18 Meter,0.0
cat__locality_Park Facing Gated Power Backup,0.0
cat__locality_Park Facing Two Side Plot,0.0
cat__locality_Part- 6 Sector-5 Gurgaon,0.0
cat__locality_105,0.0
cat__locality_Patel Nagar,0.0
cat__locality_Patodi,0.0
cat__locality_Phase 1,0.0
cat__locality_Phase 1plot No.A29,0.0
cat__locality_105000,0.0
cat__locality_Plot 51,0.0
cat__locality_Plot No -2,0.0
cat__locality_Plot No 170,0.0
cat__locality_Plot No 21,0.0
cat__locality_Plot No 24,0.0
cat__locality_Plot No 3,0.0
cat__locality_Plot No 355,0.0
cat__locality_Plot No 51,0.0
cat__locality_Plot No 65,0.0
cat__locality_Plot No 89,0.0
cat__locality_Plot No B22,0.0
cat__locality_Plot No D 2015,0.0
cat__locality_Plot Size 240 Sq.Yd South Facing Plot In South City 2 Gurgaon,0.0
cat__locality_Plots,0.0
cat__locality_Prime Location,0.0
cat__locality_1109,0.0
cat__locality_Rajendra Park Block C,0.0
cat__locality_Rajiv Chowk,0.0
cat__locality_Rajiv Nagar,0.0
cat__locality_Rajkumar,0.0
cat__locality_Ram Vihar,0.0
cat__locality_Rampura,0.0
cat__locality_Ravi Nagar,0.0
cat__locality_S31b/40,0.0
cat__locality_S45,0.0
cat__locality_Sadhrana Bamripur,0.0
cat__locality_Sai Kunj,0.0
cat__locality_Saraswati Vihar,0.0
cat__locality_Sc1,0.0
cat__locality_Sec 83,0.0
cat__locality_Sec 88,0.0
cat__locality_Sec 88a,0.0
cat__locality_111,0.0
cat__locality_Sec-91 Gurgaon,0.0
cat__locality_Sector - 45,0.0
cat__locality_Sector 1 Imt Manesar,0.0
cat__locality_Sector 1 Plot No 142 In Patodi 200sq Yrd,0.0
cat__locality_Sector 10,0.0
cat__locality_1111111,0.0
cat__locality_11123,0.0
cat__locality_112,0.0
cat__locality_Sector 108,0.0
cat__locality_11221,0.0
cat__locality_Sector 109 Gurgaon,0.0
cat__locality_114,0.0
cat__locality_Sector 11- 14,0.0
cat__locality_115,0.0
cat__locality_Sector 110 Gurgaon,0.0
cat__locality_Sector 112 Gurgaon,0.0
cat__locality_Sector 114 Gurgaon,0.0
cat__locality_Sector 12a,0.0
cat__locality_Sector 14 Gurgaon,0.0
cat__locality_Sector 15 Part 2,0.0
cat__locality_Sector 21 Gurgaon,0.0
cat__locality_Sector 22 Gurgaon,0.0
cat__locality_Sector 22B Gurgaon,0.0
